ID;SEAT_PART_NO;SEAT_CODE;SIDE;CODE;CHILD_PART_NO;PROBLEM_NO
184;71200-BZW80-B0;FR;LH;-;71072-BZJ50;1
185;71100-BZK90-B0;FR;RH;-;71072-BZJ50;1
186;71200-BZM20-B0;FR;LH;-;71072-BZJ50;1
187;71100-BZ890-B0;FR;RH;-;71072-BZJ50;1
188;71200-BZM10-B0;FR;LH;-;71072-BZJ50;1
189;71200-BZV60-B3;FR;LH;-;71072-BZJ50;1
190;71100-BZT40-B3;FR;RH;-;A111-87407;1
191;71200-BZW10-B3;FR;LH;-;A111-87407;1
192;71300-BZD81-B0;RR1;RH;-;A111-87407;1
193;71300-BZK60-C4;RR1;RH;-;A111-87407;1
194;71300-BZK90-C4;RR1;RH;-;72525-BZ110;1
195;71300-BZL20-C3;RR1;RH;-;72525-BZ110;1
196;71300-BZL10-C4;RR1;RH;-;72526-BZ100;1
197;71300-BZL60-C4;RR1;RH;-;72562-BZ100;1
198;71400-BZJ00-C3;RR1;LH;-;72211-BZ120;1
199;71400-BZJ30-C3;RR1;LH;-;72211-BZ120;1
200;71400-BZJ50-C4;RR1;LH;-;72211-BZ120;1
201;71400-BZJ80-C5;RR1;LH;-;72211-BZ120;1
202;79200-BZC90-C2;RR2;RH;-;72211-BZ120;1
203;79200-BZD10-C2;RR2;RH;-;72211-BZ120;1
204;79210-BZ220-C2;RR2;LH;-;72211-BZ120;1
205;79210-BZ240-C2;RR2;LH;-;72211-BZ120;1
206;79200-BZD30-C2;RR2;RH;-;73507-BZ010;1
207;79200-BZD00-C3;RR2;RH;-;73507-BZ010;1
208;79200-BZ230-C2;RR2;LH;-;73230-BZ790;1
209;71200-BY070-B0;FR;LH;-;73230-BZ790;1
210;71300-BZK20-B1;RR1;RH;-;73230-BZ520;1
211;71700-BZ050-B3;RR1;RH;-;73230-BZ520;1
212;71800-BZ040-B2;RR1;LH;-;73230-BZ520;1
213;71200-BZZ20-B0;FR;LH;-;73230-BZ520;1
214;71200-BZY80-B0;FR;LH;-;71812-BZ200;1
215;71300-BZG70-B0;RR1;RH;-;71812-BZ200;1
216;71400-BZF20-B0;RR1;LH;-;71812-BZ240;1
217;79200-BZB70-B1;RR2;RH;-;71812-BZ240;1
